Iteration,Cohort,Sex,AFR
1,1,F,9.72725448794261
2,1,F,9.56950068431271
3,1,F,9.40069855591038
4,1,F,9.52199769644462
5,1,F,10.0441774209883
6,1,F,9.92218738636199
7,1,F,9.7511040419739
8,1,F,9.60101471718831
9,1,F,9.92080559083469
10,1,F,9.80689593065314
11,1,F,9.97829388887268
12,1,F,9.85347454470673
13,1,F,10.251809977391
14,1,F,9.61523959671403
15,1,F,9.3955373946126
16,1,F,9.44489751722171
17,1,F,9.27887055006207
18,1,F,9.66658238752927
19,1,F,9.32187752253374
20,1,F,9.49432124108418
21,1,F,9.42272483430863
22,1,F,9.69032237835812
23,1,F,9.87541528227873
24,1,F,9.68445711690818
25,1,F,9.77947268306402
26,1,F,9.39388630737437
27,1,F,9.57424447920242
28,1,F,9.68614962214684
29,1,F,10.0758178381272
30,1,F,9.55118211695716
31,1,F,9.53863920370774
32,1,F,9.80646782276871
33,1,F,10.3279304600062
34,1,F,9.45603156470464
35,1,F,9.63967883152544
36,1,F,9.3728483175007
37,1,F,9.56029617143953
38,1,F,9.73438300703541
39,1,F,9.59065501252507
40,1,F,9.77940806330258
41,1,F,9.58655569165637
42,1,F,9.79954959964478
43,1,F,9.27012270321694
44,1,F,9.38268079059546
45,1,F,9.29391872647101
46,1,F,9.50198009943033
47,1,F,9.35029633738759
48,1,F,9.77741026946102
49,1,F,9.51878287742556
50,1,F,9.42170909967751
51,1,F,9.64663559128149
52,1,F,9.82331151834084
53,1,F,9.45863028389555
54,1,F,9.49244344252582
55,1,F,9.58482263822376
56,1,F,9.29683644194001
57,1,F,9.5400640326347
58,1,F,9.45640235548561
59,1,F,9.5316958978771
60,1,F,9.59689594237953
61,1,F,9.39495574210456
62,1,F,9.89272861633548
63,1,F,10.0477538996604
64,1,F,9.69329250899272
65,1,F,9.3691705404695
66,1,F,9.67119150713806
67,1,F,9.90615288299551
68,1,F,9.76428795061545
69,1,F,9.57365906390889
70,1,F,9.61542538860077
71,1,F,9.75079364121066
72,1,F,9.99791096027343
73,1,F,9.50607347800306
74,1,F,9.47541958105534
75,1,F,9.73248307175414
76,1,F,9.77141974559115
77,1,F,9.69748970340402
78,1,F,9.73183232194138
79,1,F,9.79137484196014
80,1,F,9.62991712416247
81,1,F,9.60694498530457
82,1,F,9.45605366185494
83,1,F,9.6372438890274
84,1,F,9.62912390564867
85,1,F,9.72573573863804
86,1,F,9.85613914756899
87,1,F,9.96249041379736
88,1,F,9.46481852004068
89,1,F,10.0134911517704
90,1,F,9.58144790114078
91,1,F,9.47488628022732
92,1,F,9.41466333066584
93,1,F,9.53722776874625
94,1,F,9.4254649637382
95,1,F,9.50834912029131
96,1,F,9.20367832623102
97,1,F,9.45465120432523
98,1,F,10.2869802596707
99,1,F,9.45406379805121
100,1,F,9.81755998887859
1,2,F,10.1063110827281
2,2,F,9.45475456690722
3,2,F,9.6371830465905
4,2,F,9.44301887168895
5,2,F,10.3571456918858
6,2,F,9.51794750540978
7,2,F,10.5137858901697
8,2,F,10.0133102942413
9,2,F,9.63220067157915
10,2,F,9.70808653187634
11,2,F,9.81034968453764
12,2,F,10.0201311154781
13,2,F,10.0748935650057
14,2,F,9.57205650299539
15,2,F,9.32630571505294
16,2,F,10.3679175069396
17,2,F,9.94810776204011
18,2,F,9.59030103090783
19,2,F,9.47645777854373
20,2,F,9.7385407059695
21,2,F,9.69178026634229
22,2,F,9.82332420545608
23,2,F,9.68436377800516
24,2,F,9.59242415980797
25,2,F,9.9201056913517
26,2,F,9.69366619995811
27,2,F,9.62706470566608
28,2,F,9.44460126746191
29,2,F,9.60326987255773
30,2,F,9.67718025111963
31,2,F,9.70447264220514
32,2,F,9.72795137152709
33,2,F,9.61714371263304
34,2,F,9.22669698708824
35,2,F,10.0452360402056
36,2,F,9.86596167779608
37,2,F,9.74313635090408
38,2,F,9.93373496089308
39,2,F,9.60926960963003
40,2,F,9.87201767420145
41,2,F,9.7439703948182
42,2,F,9.638163351216
43,2,F,9.8877125561825
44,2,F,9.5344027600707
45,2,F,9.98820519957582
46,2,F,9.94617215486624
47,2,F,9.92783134864487
48,2,F,9.14147412080331
49,2,F,9.938517982717
50,2,F,9.68350682163265
51,2,F,9.79830513134965
52,2,F,9.28091626068567
53,2,F,9.91530815910491
54,2,F,9.57568994429257
55,2,F,10.0518511945457
56,2,F,9.33840794086389
57,2,F,9.71992989556671
58,2,F,9.74948786474687
59,2,F,10.0198512154265
60,2,F,9.24496966672677
61,2,F,9.51590470232622
62,2,F,9.59252979346307
63,2,F,10.2276249019403
64,2,F,9.6049111713998
65,2,F,9.34414057678607
66,2,F,9.43019611818877
67,2,F,9.22394366539261
68,2,F,9.62721261207781
69,2,F,9.39586408835087
70,2,F,9.84548216556828
71,2,F,9.35052863264482
72,2,F,9.34938228308752
73,2,F,9.66975689418828
74,2,F,9.68337191854383
75,2,F,9.66208157430908
76,2,F,10.309900853816
77,2,F,9.41142625169054
78,2,F,10.2446414063958
79,2,F,10.044430913207
80,2,F,9.57162368186662
81,2,F,9.45664661658014
82,2,F,9.71177836908646
83,2,F,9.64489698036992
84,2,F,9.94378749877824
85,2,F,9.79227564522217
86,2,F,9.973128601246
87,2,F,9.90530895550634
88,2,F,9.57532508171788
89,2,F,9.47872576604784
90,2,F,9.81955294674739
91,2,F,9.41943750460877
92,2,F,9.35492618583734
93,2,F,9.53771413635641
94,2,F,9.57489799500259
95,2,F,9.78454876740636
96,2,F,9.54658002231526
97,2,F,9.66824615259823
98,2,F,9.87765212867452
99,2,F,9.50424081804641
100,2,F,9.41559928368798
1,3,F,9.28095658307208
2,3,F,9.09345535182278
3,3,F,9.02612398807902
4,3,F,9.08233738591571
5,3,F,9.48664222508892
6,3,F,9.41963320424811
